"OFFICIAL_GENE_SYMBOL","Original ID","Value","Gene Name","Species"
"BNIP3L","O60238","","BCL2 interacting protein 3 like(BNIP3L)","Homo sapiens"
"BOK","Q9UMX3","","BCL2 family apoptosis regulator BOK(BOK)","Homo sapiens"
"BPGM","P07738","","bisphosphoglycerate mutase(BPGM)","Homo sapiens"
"BPHL","Q86WA6","","biphenyl hydrolase like(BPHL)","Homo sapiens"
"BPIFA2","Q96DR5","","BPI fold containing family A member 2(BPIFA2)","Homo sapiens"
"BRCC3","P46736","","BRCA1/BRCA2-containing complex subunit 3(BRCC3)","Homo sapiens"
"BRD3","Q15059","","bromodomain containing 3(BRD3)","Homo sapiens"
"BRD7","Q9NPI1","","bromodomain containing 7(BRD7)","Homo sapiens"
"BRINP3","Q76B58","","BMP/retinoic acid inducible neural specific 3(BRINP3)","Homo sapiens"
"BRIX1","Q8TDN6","","biogenesis of ribosomes BRX1(BRIX1)","Homo sapiens"
"BSG","P35613","","basigin (Ok blood group)(BSG)","Homo sapiens"
"BTBD9","Q96Q07","","BTB domain containing 9(BTBD9)","Homo sapiens"
"BTF3","P20290","","basic transcription factor 3(BTF3)","Homo sapiens"
"C14orf93","Q9H972","","chromosome 14 open reading frame 93(C14orf93)","Homo sapiens"
"C15orf48","Q9C002","","chromosome 15 open reading frame 48(C15orf48)","Homo sapiens"
"C19orf25","Q9UFG5","","chromosome 19 open reading frame 25(C19orf25)","Homo sapiens"
"C1GALT1C1","Q96EU7","","C1GALT1 specific chaperone 1(C1GALT1C1)","Homo sapiens"
"C1orf116","Q9BW04","","chromosome 1 open reading frame 116(C1orf116)","Homo sapiens"
"C1orf226","A1L170","","chromosome 1 open reading frame 226(C1orf226)","Homo sapiens"
"C1orf43","Q9BWL3","","chromosome 1 open reading frame 43(C1orf43)","Homo sapiens"
"C1orf50","Q9BV19","","chromosome 1 open reading frame 50(C1orf50)","Homo sapiens"
"C2CD2","Q9Y426","","C2 calcium dependent domain containing 2(C2CD2)","Homo sapiens"
"C2CD2L","O14523","","C2CD2 like(C2CD2L)","Homo sapiens"
"C3orf38","Q5JPI3","","chromosome 3 open reading frame 38(C3orf38)","Homo sapiens"
"C6orf132","Q5T0Z8","","chromosome 6 open reading frame 132(C6orf132)","Homo sapiens"
"C6orf141","Q5SZD1","","chromosome 6 open reading frame 141(C6orf141)","Homo sapiens"
"C6orf89","Q6UWU4","","chromosome 6 open reading frame 89(C6orf89)","Homo sapiens"
"C8orf82","Q6P1X6","","chromosome 8 open reading frame 82(C8orf82)","Homo sapiens"
"CA3","P07451","","carbonic anhydrase 3(CA3)","Homo sapiens"
"CA8","P35219","","carbonic anhydrase 8(CA8)","Homo sapiens"
"CA9","Q16790","","carbonic anhydrase 9(CA9)","Homo sapiens"
"CADM1","Q9BY67","","cell adhesion molecule 1(CADM1)","Homo sapiens"
"CADPS","Q9ULU8","","calcium dependent secretion activator(CADPS)","Homo sapiens"
"CADPS2","Q86UW7","","calcium dependent secretion activator 2(CADPS2)","Homo sapiens"
"CALB1","P05937","","calbindin 1(CALB1)","Homo sapiens"
"CAMK2B","Q13554","","calcium/calmodulin dependent protein kinase II beta(CAMK2B)","Homo sapiens"
"CAMK2D","Q13557","","calcium/calmodulin dependent protein kinase II delta(CAMK2D)","Homo sapiens"
"CAMK2G","Q13555","","calcium/calmodulin dependent protein kinase II gamma(CAMK2G)","Homo sapiens"
"CAMLG","P49069","","calcium modulating ligand(CAMLG)","Homo sapiens"
"CAMSAP2","Q08AD1","","calmodulin regulated spectrin associated protein family member 2(CAMSAP2)","Homo sapiens"
"CAMSAP3","Q9P1Y5","","calmodulin regulated spectrin associated protein family member 3(CAMSAP3)","Homo sapiens"
"CAPN13","Q6MZZ7","","calpain 13(CAPN13)","Homo sapiens"
"CAPN5","O15484","","calpain 5(CAPN5)","Homo sapiens"
"CAPNS1","P04632","","calpain small subunit 1(CAPNS1)","Homo sapiens"
"CAPNS2","Q96L46","","calpain small subunit 2(CAPNS2)","Homo sapiens"
"CAPS","Q13938","","calcyphosine(CAPS)","Homo sapiens"
"CARD10","Q9BWT7","","caspase recruitment domain family member 10(CARD10)","Homo sapiens"
"CARD14","Q9BXL6","","caspase recruitment domain family member 14(CARD14)","Homo sapiens"
"CARD16","P29466","","caspase recruitment domain family member 16(CARD16)","Homo sapiens"
"CARD6","Q9BX69","","caspase recruitment domain family member 6(CARD6)","Homo sapiens"
"CARD9","Q9H257","","caspase recruitment domain family member 9(CARD9)","Homo sapiens"
"CARM1","Q86X55","","coactivator associated arginine methyltransferase 1(CARM1)","Homo sapiens"
"CARMIL1","Q5VZK9","","capping protein regulator and myosin 1 linker 1(CARMIL1)","Homo sapiens"
"CASD1","Q96PB1","","CAS1 domain containing 1(CASD1)","Homo sapiens"
"CASKIN2","Q8WXE0","","CASK interacting protein 2(CASKIN2)","Homo sapiens"
"CASP1","P29466","","caspase 1(CASP1)","Homo sapiens"
"CASP6","P55212","","caspase 6(CASP6)","Homo sapiens"
"CAV2","P51636","","caveolin 2(CAV2)","Homo sapiens"
"CBFA2T2","O43439","","CBFA2/RUNX1 partner transcriptional co-repressor 2(CBFA2T2)","Homo sapiens"
"CBFA2T3","O75081","","CBFA2/RUNX1 partner transcriptional co-repressor 3(CBFA2T3)","Homo sapiens"
"CBLC","Q9ULV8","","Cbl proto-oncogene C(CBLC)","Homo sapiens"
"CBR4","Q8N4T8","","carbonyl reductase 4(CBR4)","Homo sapiens"
"CBY2","Q8NA61","","chibby family member 2(CBY2)","Homo sapiens"
"CCDC120","Q96HB5","","coiled-coil domain containing 120(CCDC120)","Homo sapiens"
"CCDC127","Q96BQ5","","coiled-coil domain containing 127(CCDC127)","Homo sapiens"
"CCDC137","Q6PK04","","coiled-coil domain containing 137(CCDC137)","Homo sapiens"
"CCDC30","Q5VVM6","","coiled-coil domain containing 30(CCDC30)","Homo sapiens"
"CCDC50","Q8IVM0","","coiled-coil domain containing 50(CCDC50)","Homo sapiens"
"CCDC51","Q96ER9","","coiled-coil domain containing 51(CCDC51)","Homo sapiens"
"CCDC80","Q76M96","","coiled-coil domain containing 80(CCDC80)","Homo sapiens"
"CCDC9","Q9Y3X0","","coiled-coil domain containing 9(CCDC9)","Homo sapiens"
"CCDC90B","Q9GZT6","","coiled-coil domain containing 90B(CCDC90B)","Homo sapiens"
"CCDC91","Q7Z6B0","","coiled-coil domain containing 91(CCDC91)","Homo sapiens"
