"","Jurkat","KMBC2","MCF7","231"
"O15258",-3.49,-3.72,-2.13,-1.24
"O15260",-0.83,-2.01,-0.644,-2.19
"O15264",0.0884,-4.31,-0.145,-0.35
"O15269",-4.08,-1.6,-0.389,-0.184
"O15270",0.0884,-3.57,-1.82,-2.38
"O15287",-1.36,-1.16,-0.67,-3.1
"O15294",-5.29,-4.5,-1.91,-3.85
"O15296",0.0884,-0.643,-0.145,-0.35
"O15297",-1.92,-2.3,-3.97,-0.35
"O15305",-5.14,-3.55,-1.79,-3.62
"O15321",0.0884,-2.5,-2.58,-0.35
"O15327",0.0884,-2.54,-1.15,-1.68
"O15344",-0.754,-1.23,-0.145,-3.43
"O15347",-1.88,-3.66,-1.1,-1.88
"O15350",0.0884,-8.93,-2.35,-5.75
"O15355",-4.29,-4.1,-0.929,-2.45
"O15357",0.0884,-3.84,-0.456,-3.81
"O15360",-0.266,-1.58,-0.837,-2.42
"O15371",-0.868,-1.27,-0.459,-1.22
"O15372",-2.32,-0.934,-0.747,-1.46
"O15379",-3.9,-5.08,-2.42,-3.23
"O15381",0.542,-1.14,-0.262,-0.524
"O15382",-0.694,-2.03,-0.145,-1.25
"O15397",-2.97,-3.47,-0.856,-1.7
"O15400",-0.469,-4.34,0.243,-1.34
"O15417",-4.43,-6.62,-5.82,-6.75
"O15427",0.335,-3.73,1.23,-2.07
"O15438",0.0884,-1.56,-0.111,-1.15
"O15440",0.0884,-2.48,-0.145,-0.35
"O15446",-2.05,-3.44,-0.945,-1.43
"O15460",0.0884,-0.643,-0.145,-1.15
"O15484",0.0884,-2.38,-0.145,-1.69
"O15498",-2.02,-3.2,-0.415,-2.73
"O15511",-4.56,-2.91,-0.144,-1.42
"O15514",-0.6,-1.46,-0.145,-1.39
"O15516",0.0884,-5.58,-4.61,-6.21
"O15516;Q99743",0.0884,-3.33,-1.35,-1.78
"O15519",0.0884,-0.643,-0.145,-0.35
"O15522",0.0884,-4.77,-1.24,-0.35
"O15525",-1.48,-2.75,-1.26,-2.94
"O15530;Q6A1A2",-0.502,-2.42,-0.75,-0.369
"O15533",0.0884,-3.25,-0.145,-1.16
"O15534",0.0884,-0.643,-0.145,-0.35
"O15541",-4.21,-4.88,-2.74,-4.64
"O15550",-4.94,-1.89,-6.23,-7.3
"O15550;O14607",-4.99,-0.643,-5.56,-6.59
"O15551",0.0884,-2.75,-0.5,-0.35
"O43143",-1.69,-1.99,-0.67,-1.36
"O43148",-1.4,-2.8,-0.949,-1.74
"O43149",0.0884,-2.41,-0.145,-1.54
"O43150",0.0884,-1.2,-0.145,-1.03
